sid,place,timestamp,param,value
s11,10103 Bahnstraße ,28.03.23 02:40,q,14.8
s1,20001 Fusternberg ,28.03.23 02:45,w,342
s2,20004 Dorsten ,28.03.23 02:45,w,621
s3,28085 Haltern ,28.03.23 02:45,w,325
s4,20008 Lünen ,28.03.23 02:45,w,340
s5,20012 KA Hamm ,28.03.23 02:45,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:45,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:45,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:45,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:45,w,99
s11,10103 Bahnstraße ,28.03.23 02:45,w,256
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:45,w,104
s5,20012 KA Hamm ,28.03.23 02:45,q,51.4
s11,10103 Bahnstraße ,28.03.23 02:45,q,14.5
s1,20001 Fusternberg ,28.03.23 02:50,w,343
s2,20004 Dorsten ,28.03.23 02:50,w,621
s3,28085 Haltern ,28.03.23 02:50,w,325
s4,20008 Lünen ,28.03.23 02:50,w,339
s5,20012 KA Hamm ,28.03.23 02:50,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:50,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:50,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:50,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:50,w,99
s11,10103 Bahnstraße ,28.03.23 02:50,w,256
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:50,w,103
s2,20004 Dorsten ,28.03.23 02:50,q,94.2
s5,20012 KA Hamm ,28.03.23 02:50,q,51.3
s11,10103 Bahnstraße ,28.03.23 02:50,q,14.9
s1,20001 Fusternberg ,28.03.23 02:55,w,343
s2,20004 Dorsten ,28.03.23 02:55,w,621
s3,28085 Haltern ,28.03.23 02:55,w,325
s4,20008 Lünen ,28.03.23 02:55,w,339
s5,20012 KA Hamm ,28.03.23 02:55,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:55,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:55,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:55,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:55,w,99
s11,10103 Bahnstraße ,28.03.23 02:55,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:55,w,103
s2,20004 Dorsten ,28.03.23 02:55,q,94.2
s5,20012 KA Hamm ,28.03.23 02:55,q,51.7
s11,10103 Bahnstraße ,28.03.23 02:55,q,14.6
s1,20001 Fusternberg ,28.03.23 03:00,w,343
s2,20004 Dorsten ,28.03.23 03:00,w,621
s3,28085 Haltern ,28.03.23 03:00,w,325
s4,20008 Lünen ,28.03.23 03:00,w,339
s5,20012 KA Hamm ,28.03.23 03:00,w,349
s6,"10026 Mengede, A45 ",28.03.23 03:00,w,154
s7,10008 Bottrop-Süd ,28.03.23 03:00,w,140
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:00,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:00,w,99
s11,10103 Bahnstraße ,28.03.23 03:00,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:00,w,103
s2,20004 Dorsten ,28.03.23 03:00,q,94.2
s5,20012 KA Hamm ,28.03.23 03:00,q,51.8
s11,10103 Bahnstraße ,28.03.23 03:00,q,14.4
s1,20001 Fusternberg ,28.03.23 03:05,w,342
s2,20004 Dorsten ,28.03.23 03:05,w,621
s3,28085 Haltern ,28.03.23 03:05,w,325
s4,20008 Lünen ,28.03.23 03:05,w,339
s5,20012 KA Hamm ,28.03.23 03:05,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:05,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:05,w,140
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:05,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:05,w,99
s11,10103 Bahnstraße ,28.03.23 03:05,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:05,w,103
s2,20004 Dorsten ,28.03.23 03:05,q,94.7
s11,10103 Bahnstraße ,28.03.23 03:05,q,14.4
s1,20001 Fusternberg ,28.03.23 03:10,w,342
s2,20004 Dorsten ,28.03.23 03:10,w,621
s3,28085 Haltern ,28.03.23 03:10,w,325
s4,20008 Lünen ,28.03.23 03:10,w,339
s5,20012 KA Hamm ,28.03.23 03:10,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:10,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:10,w,140
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:10,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:10,w,99
s11,10103 Bahnstraße ,28.03.23 03:10,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:10,w,103
s2,20004 Dorsten ,28.03.23 03:10,q,94.7
s11,10103 Bahnstraße ,28.03.23 03:10,q,14.7
s1,20001 Fusternberg ,28.03.23 03:15,w,342
s2,20004 Dorsten ,28.03.23 03:15,w,621
